Country,ISO2,ISO3,Admin_1,Admin_2,ESPEN_IU_ID,Community,Community_ID,Year_pop,TotalPop,AdjPop,PreSAC,SAC,Adults,WRA1549,WRA1524,PercPreSAC,PercSAC,PercAdults,PercWRA1549,PercWRA1524,PGR,PGR_WB21,Urbanization,TransRiskLevel,YearSurvey,PC_YearStarted,N_PC,N_EffPC
South Africa,ZA,ZAF,Eastern Cape,Alfred Nzo,43267,Matatiele,ZAF-43267-001,2023,242306,247682,14465,46787,176672,65512,19195,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Alfred Nzo,43267,Mbizana,ZAF-43267-002,2023,335097,342532,20004,64704,244328,90600,26546,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Alfred Nzo,43267,Ntabankulu,ZAF-43267-003,2023,147185,150451,8786,28420,107317,39794,11660,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Alfred Nzo,43267,Umzimvubu,ZAF-43267-004,2023,227961,233019,13608,44017,166212,61634,18059,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Amathole,43268,Amahlathi,ZAF-43268-001,2023,120099,123145,7192,23262,87839,32572,9544,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Amathole,43268,Great Kei,ZAF-43268-002,2023,36650,37579,2195,7099,26805,9940,2912,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Amathole,43268,Mbhashe,ZAF-43268-003,2023,311166,319057,18633,60270,227583,84391,24727,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Amathole,43268,Mnquma,ZAF-43268-004,2023,291854,299255,17476,56529,213459,79153,23192,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Amathole,43268,Ngqushwa,ZAF-43268-005,2023,77559,79526,4644,15022,56726,21035,6163,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Amathole,43268,Raymond Mhlaba,ZAF-43268-006,2023,179942,184505,10775,34853,131607,48802,14299,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Buffalo City,43269,Buffalo City,ZAF-43269-001,2023,928396,887022,51802,167558,632713,234617,68744,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Chris Hani,43270,Emalahleni,ZAF-43270-001,2023,143543,140646,8214,26568,100323,37201,10900,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Chris Hani,43270,Engcobo,ZAF-43270-002,2023,184856,181125,10578,34215,129196,47908,14037,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Chris Hani,43270,Enoch Mgijima,ZAF-43270-003,2023,298094,292078,17057,55174,208339,77255,22636,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Chris Hani,43270,Intsika Yethu,ZAF-43270-004,2023,180190,176553,10311,33351,125935,46698,13683,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Chris Hani,43270,Inxuba Yethemba,ZAF-43270-005,2023,77930,76357,4459,14424,54465,20196,5918,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Chris Hani,43270,Sakhisizwe,ZAF-43270-006,2023,74036,72542,4236,13703,51744,19187,5622,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Joe Gqabi,43271,Elundini,ZAF-43271-001,2023,162896,163360,9540,30859,116525,43209,12660,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Joe Gqabi,43271,Senqu,ZAF-43271-002,2023,159462,159916,9339,30208,114068,42298,12393,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Joe Gqabi,43271,Walter Sisulu,ZAF-43271-003,2023,92096,92358,5394,17446,65879,24429,7158,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Nelson Mandela Bay,43272,Nelson Mandela Bay,ZAF-43272-001,2023,1369503,1392680,81333,263077,993399,368364,107933,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,O.R.Tambo,43273,King Sabata Dalindyebo,ZAF-43273-001,2023,535250,527600,30812,99664,376337,139550,40889,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,O.R.Tambo,43273,Mhlontlo,ZAF-43273-002,2023,226743,223502,13053,42220,159424,59116,17321,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,O.R.Tambo,43273,Ngquza Hill,ZAF-43273-003,2023,331027,326296,19056,61637,232747,86305,25288,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,O.R.Tambo,43273,Nyandeni,ZAF-43273-004,2023,345182,340249,19871,64273,242700,89996,26369,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,O.R.Tambo,43273,Port St Johns,ZAF-43273-005,2023,185596,182943,10684,34558,130493,48388,14178,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Blue Crane Route,ZAF-43274-001,2023,42795,43468,2539,8211,31006,11497,3369,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Dr Beyers Naude,ZAF-43274-002,2023,94253,95736,5591,18085,68288,25322,7420,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Kouga,ZAF-43274-003,2023,117154,118997,6949,22479,84881,31475,9222,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Kou-Kamma,ZAF-43274-004,2023,48336,49097,2867,9274,35021,12986,3805,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Makana,ZAF-43274-005,2023,95558,97062,5668,18335,69234,25673,7522,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Ndlambe,ZAF-43274-006,2023,72719,73863,4314,13953,52686,19537,5724,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Eastern Cape,Sarah Baartman,43274,Sundays River Valley,ZAF-43274-007,2023,64788,65807,3843,12431,46940,17406,5100,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Fezile Dabi,43275,Mafube,ZAF-43275-001,2023,68796,71860,4197,13574,51258,19007,5569,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Fezile Dabi,43275,Metsimaholo,ZAF-43275-002,2023,177243,185137,10812,34972,132058,48969,14348,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Fezile Dabi,43275,Moqhaka,ZAF-43275-003,2023,190822,199321,11640,37652,142176,52720,15447,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Fezile Dabi,43275,Ngwathe,ZAF-43275-004,2023,143261,149641,8739,28267,106739,39580,11597,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Lejweleputswa,43276,Masilonyana,ZAF-43276-001,2023,71196,66564,3887,12574,47480,17606,5159,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Lejweleputswa,43276,Matjhabeng,ZAF-43276-002,2023,483819,452339,26417,85447,322653,119644,35056,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Lejweleputswa,43276,Nala,ZAF-43276-003,2023,96545,90263,5271,17051,64385,23875,6995,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Lejweleputswa,43276,Tokologo,ZAF-43276-004,2023,34456,32214,1881,6085,22978,8521,2497,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Lejweleputswa,43276,Tswelopele,ZAF-43276-005,2023,56611,52928,3091,9998,37754,13999,4102,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Mangaung,43277,Mangaung,ZAF-43277-001,2023,921450,926526,54109,175021,660891,245066,71806,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Thabo Mofutsanyane,43278,Dihlabeng,ZAF-43278-001,2023,152988,145513,8498,27487,103794,38488,11277,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Thabo Mofutsanyane,43278,Maluti a Phofung,ZAF-43278-002,2023,399142,379640,22171,71714,270797,100415,29422,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Thabo Mofutsanyane,43278,Mantsopa,ZAF-43278-003,2023,60690,57725,3371,10904,41175,15268,4474,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Thabo Mofutsanyane,43278,Nketoana,ZAF-43278-004,2023,71706,68202,3983,12883,48648,18039,5286,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Thabo Mofutsanyane,43278,Phumelela,ZAF-43278-005,2023,56786,54011,3154,10203,38526,14286,4186,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Thabo Mofutsanyane,43278,Setsoto,ZAF-43278-006,2023,133178,126671,7398,23928,90354,33504,9817,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Xhariep,43279,Kopanong,ZAF-43279-001,2023,58449,64475,3765,12179,45990,17054,4997,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Xhariep,43279,Letsemeng,ZAF-43279-002,2023,45916,50650,2958,9568,36129,13397,3925,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Free State,Xhariep,43279,Mohokare,ZAF-43279-003,2023,40589,44774,2615,8458,31937,11843,3470,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,City of Johannesburg,43281,City of Johannesburg,ZAF-43281-001,2023,5271616,5689388,332260,1074725,4058240,1504843,440928,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,City of Tshwane,43283,City of Tshwane,ZAF-43283-001,2023,3472731,3778258,220650,713713,2695031,999349,292815,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,Ekurhuleni,43280,Ekurhuleni,ZAF-43280-001,2023,3778203,3889031,227119,734638,2774046,1028649,301400,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,Sedibeng,43282,Emfuleni,ZAF-43282-001,2023,857830,851971,49755,160937,607711,225346,66028,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,Sedibeng,43282,Lesedi,ZAF-43282-002,2023,118298,117490,6861,22194,83806,31076,9105,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,Sedibeng,43282,Midvaal,ZAF-43282-003,2023,113283,112509,6571,21253,80253,29759,8719,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,West Rand,43284,Merafong City,ZAF-43284-001,2023,234789,244400,14273,46167,174331,64644,18941,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,West Rand,43284,Mogale City,ZAF-43284-002,2023,430806,448441,26189,84711,319873,118613,34754,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,Gauteng,West Rand,43284,Rand West City,ZAF-43284-003,2023,310311,323013,18864,61017,230405,85437,25034,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Amajuba,43285,Dannhauser,ZAF-43285-001,2023,122360,125180,7311,23647,89291,33110,9701,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Amajuba,43285,Emadlangeni,ZAF-43285-002,2023,40940,41883,2446,7912,29875,11078,3246,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Amajuba,43285,Newcastle,ZAF-43285-003,2023,431773,441724,25797,83442,315082,116836,34234,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,eThekwini,43293,eThekwini,ZAF-43293-001,2023,4132688,4100870,239491,774654,2925151,1084680,317817,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,iLembe,43294,KwaDukuza,ZAF-43294-001,2023,274809,289104,16884,54612,206218,76468,22406,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,iLembe,43294,Mandeni,ZAF-43294-002,2023,164131,172669,10084,32617,123165,45671,13382,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,iLembe,43294,Maphumulo,ZAF-43294-003,2023,114974,120955,7064,22848,86277,31993,9374,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,iLembe,43294,Ndwedwe,ZAF-43294-004,2023,167391,176098,10284,33265,125611,46578,13648,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Harry Gwala,43286,Dr Nkosazana Dlamini Zuma,ZAF-43286-001,2023,130855,133174,7777,25157,94993,35225,10321,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Harry Gwala,43286,Greater Kokstad,ZAF-43286-002,2023,78430,79820,4661,15078,56936,21112,6186,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Harry Gwala,43286,Ubuhlebezwe,ZAF-43286-003,2023,131855,134191,7837,25349,95718,35494,10400,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Harry Gwala,43286,Umzimkhulu,ZAF-43286-004,2023,214323,218120,12738,41203,155585,57693,16904,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Ugu,43287,Ray Nkonyeni,ZAF-43287-001,2023,366917,391471,22862,73949,279236,103544,30339,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Ugu,43287,Umdoni,ZAF-43287-002,2023,155021,165395,9659,31243,117976,43747,12818,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Ugu,43287,uMuziwabantu,ZAF-43287-003,2023,114774,122455,7151,23132,87347,32389,9490,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Ugu,43287,Umzumbe,ZAF-43287-004,2023,182353,194556,11362,36752,138777,51460,15078,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,Impendle,ZAF-43295-001,2023,36115,38174,2229,7211,27230,10097,2958,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,Mkhambathini,ZAF-43295-002,2023,65298,69021,4031,13038,49233,18256,5349,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,Mpofana,ZAF-43295-003,2023,41500,43866,2562,8286,31290,11603,3400,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,Richmond,ZAF-43295-004,2023,77906,82348,4809,15556,58739,21781,6382,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,The Msunduzi,ZAF-43295-005,2023,739116,781262,45626,147580,557274,206644,60548,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,uMngeni,ZAF-43295-006,2023,111568,117930,6887,22277,84119,31192,9140,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umgungundlovu,43295,uMshwathi,ZAF-43295-007,2023,126462,133673,7807,25251,95349,35357,10360,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umkhanyakude,43288,Big Five Hlabisa,ZAF-43288-001,2023,127365,129555,7566,24473,92412,34267,10041,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umkhanyakude,43288,Jozini,ZAF-43288-002,2023,221692,225504,13169,42598,160852,59646,17477,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umkhanyakude,43288,Mtubatuba,ZAF-43288-003,2023,208526,212112,12387,40068,151299,56104,16439,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umkhanyakude,43288,Umhlabuyalingana,ZAF-43288-004,2023,186352,189557,11070,35807,135211,50138,14691,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umzinyathi,43289,Endumeni,ZAF-43289-001,2023,77100,76842,4488,14515,54811,20325,5955,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umzinyathi,43289,Msinga,ZAF-43289-002,2023,201061,200389,11703,37853,142937,53003,15530,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umzinyathi,43289,Nqutu,ZAF-43289-003,2023,196499,195843,11437,36995,139695,51800,15178,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Umzinyathi,43289,Umvoti,ZAF-43289-004,2023,136361,135906,7937,25673,96942,35947,10533,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthukela,43290,Alfred Duma,ZAF-43290-001,2023,403888,412134,24069,77852,293975,109009,31940,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthukela,43290,Inkosi Langalibalele,ZAF-43290-002,2023,233252,238014,13900,44961,169775,62955,18446,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthukela,43290,Okhahlamba,ZAF-43290-003,2023,156988,160193,9355,30260,114266,42371,12415,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthungulu,43291,Mfolozi,ZAF-43291-001,2023,158287,163784,9565,30939,116827,43321,12693,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthungulu,43291,Mthonjaneni,ZAF-43291-002,2023,99330,102780,6002,19415,73313,27185,7965,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthungulu,43291,Nkandla,ZAF-43291-003,2023,136005,140729,8219,26584,100382,37223,10906,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
South Africa,ZA,ZAF,KwaZulu-Natal,Uthungulu,43291,uMhlathuze,ZAF-43291-004,2023,431229,446206,26058,84288,318279,118021,34581,5.84,18.89,71.33,26.45,7.75,0.86,0,0,0,0,0,0,0
