iso3,iso2,geofabrik_slug,country_name
RWA,RW,rwanda,Rwanda
ZMB,ZM,zambia,Zambia
COD,CD,congo-democratic-republic,Democratic Republic of the Congo
TCD,TD,chad,Chad
MOZ,MZ,mozambique,Mozambique
CIV,CI,ivory-coast,Cote d'Ivoire
ERI,ER,eritrea,Eritrea
BDI,BI,burundi,Burundi
NER,NE,niger,Niger
SEN,SN,senegal-and-gambia,Senegal
SLE,SL,sierra-leone,Sierra Leone
ZAF,ZA,south-africa,South Africa
GIN,GN,guinea,Guinea
MLI,ML,mali,Mali
TZA,TZ,tanzania,Tanzania
MDG,MG,madagascar,Madagascar
KEN,KE,kenya,Kenya
CMR,CM,cameroon,Cameroon
SSD,SS,south-sudan,South Sudan
AGO,AO,angola,Angola
BWA,BW,botswana,Botswana
NGA,NG,nigeria,Nigeria
COG,CG,congo-brazzaville,Congo
SWZ,SZ,swaziland,Eswatini
MRT,MR,mauritania,Mauritania
TGO,TG,togo,Togo
CAF,CF,central-african-republic,Central African Republic
MWI,MW,malawi,Malawi
ZWE,ZW,zimbabwe,Zimbabwe
GAB,GA,gabon,Gabon
UGA,UG,uganda,Uganda
BEN,BJ,benin,Benin
